stock_code,company_name,tax_issue,risk_level,risk_sort,occurrence_basis,affected_metric,threshold,review_direction,evidence_request,work_type,data_basis,source_limitation,source_type,latest_year
330590,롯데리츠,FFO proxy 대비 보유세 부담,정상,4,FFO proxy 대비 보유세 비중이 높으면 공시가격 상승 시 배당 여력과 현금 유출 부담이 빠르게 악화될 수 있습니다.,holding_tax_to_ffo,,"자산별 공시가격, 기준시가, 고지세액 자료를 대사합니다. / 공정시장가액비율과 세부담상한 적용 가능성을 검토합니다.",최근 5년 재산세 고지서 / 개별공시지가 조회 결과 / 건축물 시가표준액 자료,Tax Red Flag,롯데리츠: 2026년 / peer_snapshot_estimate / 회사 전체 Snapshot 기반 추정 / Peer 기반 회사 전체 추정 / 자산별 PNU·고지서 및 임대차별 세부담 귀속 확인 전 회사 전체 Snapshot 기반 estimate,공시·Snapshot 입력의 기간과 범위를 원자료로 확인해야 합니다.,peer_snapshot_estimate,2026
330590,롯데리츠,투자부동산 대비 공시가격,정상,4,공시가격이 투자부동산 장부금액 대비 높게 형성되면 향후 보유세 증가 민감도가 커질 수 있습니다.,official_price_to_investment_property,,공시가격과 감정평가액의 차이를 자산별로 비교합니다. / 지가 상승률이 높은 권역의 과세표준 증가 가능성을 점검합니다.,자산별 공시가격 산출자료 / 감정평가보고서 / 토지·건물 면적 명세,Tax Red Flag,롯데리츠: 2026년 / peer_snapshot_estimate / 회사 전체 Snapshot 기반 추정 / Peer 기반 회사 전체 추정 / 자산별 PNU·고지서 및 임대차별 세부담 귀속 확인 전 회사 전체 Snapshot 기반 estimate,공시·Snapshot 입력의 기간과 범위를 원자료로 확인해야 합니다.,peer_snapshot_estimate,2026
330590,롯데리츠,FFO proxy 현금유출 스트레스,정상,4,보유세 증가 및 FFO proxy 하락 가정을 함께 반영,"보유세 / FFO proxy, 추가 현금유출",주의 20% / 높음 35%,"배당가능재원, 예산, 투자자 커뮤니케이션 영향 검토",FFO proxy 산정자료 / 배당계획 / 보유세 예산 / 공시가격 변동 분석,현금흐름 스트레스,롯데리츠: 2026년 / peer_snapshot_estimate / 회사 전체 Snapshot 기반 추정 / Peer 기반 회사 전체 추정 / 자산별 PNU·고지서 및 임대차별 세부담 귀속 확인 전 회사 전체 Snapshot 기반 estimate,FFO proxy와 추정 보유세를 사용한 민감도이며 확정 현금흐름 예측이 아닙니다.,peer_snapshot_estimate,2026
348950,제이알글로벌리츠,자산별 과세자료 정합성 검토 필요,주의,2,정합성 검토 필요 행 1건,"공시가격 / 장부가액, 추정 과세표준",자산별 원자료 대사 여부,"장부가액, 공시가격, 과세표준, 고지세액의 자산별 대사",재산세 고지서 / 토지대장 / 건축물대장 / 자산별 장부가액 명세,보유세 정합성,제이알글로벌리츠: 2026년 / data_insufficient / 데이터 부족 / 데이터 부족 / 해외자산 중심 회사이므로 국내 공시가격·보유세 산식을 적용하지 않고 데이터 부족으로 처리,자산별 고지세액·법적 소유자·과세구분 확인 전 회사 전체 screening estimate입니다.,data_insufficient,2026
348950,제이알글로벌리츠,FFO proxy 대비 보유세 부담,데이터 부족,3,FFO proxy 대비 보유세 비중이 높으면 공시가격 상승 시 배당 여력과 현금 유출 부담이 빠르게 악화될 수 있습니다.,holding_tax_to_ffo,,"자산별 공시가격, 기준시가, 고지세액 자료를 대사합니다. / 공정시장가액비율과 세부담상한 적용 가능성을 검토합니다.",최근 5년 재산세 고지서 / 개별공시지가 조회 결과 / 건축물 시가표준액 자료,Tax Red Flag,제이알글로벌리츠: 2026년 / data_insufficient / 데이터 부족 / 데이터 부족 / 해외자산 중심 회사이므로 국내 공시가격·보유세 산식을 적용하지 않고 데이터 부족으로 처리,공시·Snapshot 입력의 기간과 범위를 원자료로 확인해야 합니다.,data_insufficient,2026
348950,제이알글로벌리츠,투자부동산 대비 공시가격,데이터 부족,3,공시가격이 투자부동산 장부금액 대비 높게 형성되면 향후 보유세 증가 민감도가 커질 수 있습니다.,official_price_to_investment_property,,공시가격과 감정평가액의 차이를 자산별로 비교합니다. / 지가 상승률이 높은 권역의 과세표준 증가 가능성을 점검합니다.,자산별 공시가격 산출자료 / 감정평가보고서 / 토지·건물 면적 명세,Tax Red Flag,제이알글로벌리츠: 2026년 / data_insufficient / 데이터 부족 / 데이터 부족 / 해외자산 중심 회사이므로 국내 공시가격·보유세 산식을 적용하지 않고 데이터 부족으로 처리,공시·Snapshot 입력의 기간과 범위를 원자료로 확인해야 합니다.,data_insufficient,2026
348950,제이알글로벌리츠,영업수익 대비 보유세 부담,데이터 부족,3,"영업수익 대비 보유세가 높으면 임대료 인상 여력, 관리비 전가 구조, 임차인 계약조건 검토가 필요합니다.",holding_tax_to_operating_revenue,,임대차계약상 세금 및 공과금 부담 주체를 확인합니다. / 관리비 또는 임대료 전가 가능성과 회계처리 영향을 검토합니다.,주요 임대차계약서 / 관리비 정산 명세 / 세금 및 공과금 전가 조항 요약,Tax Red Flag,제이알글로벌리츠: 2026년 / data_insufficient / 데이터 부족 / 데이터 부족 / 해외자산 중심 회사이므로 국내 공시가격·보유세 산식을 적용하지 않고 데이터 부족으로 처리,공시·Snapshot 입력의 기간과 범위를 원자료로 확인해야 합니다.,data_insufficient,2026
348950,제이알글로벌리츠,공시가격 상승률 추가 검토,데이터 부족,3,공시가격 상승률은 향후 자산별 과거 고지자료가 확장되면 별도 규칙으로 고도화할 예정입니다.,official_price_growth_5y,,최근 5년 공시가격 상승률과 실제 고지세액 증가율을 비교합니다. / 세부담상한 적용 여부와 누적 효과를 검토합니다.,최근 5년 공시가격 이력 / 최근 5년 재산세 고지서 / 지자체 과세자료,Tax Red Flag,제이알글로벌리츠: 2026년 / data_insufficient / 데이터 부족 / 데이터 부족 / 해외자산 중심 회사이므로 국내 공시가격·보유세 산식을 적용하지 않고 데이터 부족으로 처리,공시·Snapshot 입력의 기간과 범위를 원자료로 확인해야 합니다.,data_insufficient,2026
348950,제이알글로벌리츠,FFO proxy 현금유출 스트레스,데이터 부족,3,보유세 증가 및 FFO proxy 하락 가정을 함께 반영,"보유세 / FFO proxy, 추가 현금유출",주의 20% / 높음 35%,"배당가능재원, 예산, 투자자 커뮤니케이션 영향 검토",FFO proxy 산정자료 / 배당계획 / 보유세 예산 / 공시가격 변동 분석,현금흐름 스트레스,제이알글로벌리츠: 2026년 / data_insufficient / 데이터 부족 / 데이터 부족 / 해외자산 중심 회사이므로 국내 공시가격·보유세 산식을 적용하지 않고 데이터 부족으로 처리,FFO proxy와 추정 보유세를 사용한 민감도이며 확정 현금흐름 예측이 아닙니다.,data_insufficient,2026
293940,신한알파리츠,FFO proxy 대비 보유세 부담,주의,2,FFO proxy 대비 보유세 비중이 높으면 공시가격 상승 시 배당 여력과 현금 유출 부담이 빠르게 악화될 수 있습니다.,holding_tax_to_ffo,,"자산별 공시가격, 기준시가, 고지세액 자료를 대사합니다. / 공정시장가액비율과 세부담상한 적용 가능성을 검토합니다.",최근 5년 재산세 고지서 / 개별공시지가 조회 결과 / 건축물 시가표준액 자료,Tax Red Flag,신한알파리츠: 2026년 / peer_snapshot_estimate / 회사 전체 Snapshot 기반 추정 / Peer 기반 회사 전체 추정 / 회사 전체 예시 Snapshot 기반 effective-rate estimate,공시·Snapshot 입력의 기간과 범위를 원자료로 확인해야 합니다.,peer_snapshot_estimate,2026
293940,신한알파리츠,영업수익 대비 보유세 부담,주의,2,"영업수익 대비 보유세가 높으면 임대료 인상 여력, 관리비 전가 구조, 임차인 계약조건 검토가 필요합니다.",holding_tax_to_operating_revenue,,임대차계약상 세금 및 공과금 부담 주체를 확인합니다. / 관리비 또는 임대료 전가 가능성과 회계처리 영향을 검토합니다.,주요 임대차계약서 / 관리비 정산 명세 / 세금 및 공과금 전가 조항 요약,Tax Red Flag,신한알파리츠: 2026년 / peer_snapshot_estimate / 회사 전체 Snapshot 기반 추정 / Peer 기반 회사 전체 추정 / 회사 전체 예시 Snapshot 기반 effective-rate estimate,공시·Snapshot 입력의 기간과 범위를 원자료로 확인해야 합니다.,peer_snapshot_estimate,2026
293940,신한알파리츠,공시가격 상승률 추가 검토,주의,2,공시가격 상승률은 향후 자산별 과거 고지자료가 확장되면 별도 규칙으로 고도화할 예정입니다.,official_price_growth_5y,,최근 5년 공시가격 상승률과 실제 고지세액 증가율을 비교합니다. / 세부담상한 적용 여부와 누적 효과를 검토합니다.,최근 5년 공시가격 이력 / 최근 5년 재산세 고지서 / 지자체 과세자료,Tax Red Flag,신한알파리츠: 2026년 / peer_snapshot_estimate / 회사 전체 Snapshot 기반 추정 / Peer 기반 회사 전체 추정 / 회사 전체 예시 Snapshot 기반 effective-rate estimate,공시·Snapshot 입력의 기간과 범위를 원자료로 확인해야 합니다.,peer_snapshot_estimate,2026
293940,신한알파리츠,자산별 과세자료 정합성 검토 필요,주의,2,정합성 검토 필요 행 1건,"공시가격 / 장부가액, 추정 과세표준",자산별 원자료 대사 여부,"장부가액, 공시가격, 과세표준, 고지세액의 자산별 대사",재산세 고지서 / 토지대장 / 건축물대장 / 자산별 장부가액 명세,보유세 정합성,신한알파리츠: 2026년 / peer_snapshot_estimate / 회사 전체 Snapshot 기반 추정 / Peer 기반 회사 전체 추정 / 회사 전체 예시 Snapshot 기반 effective-rate estimate,자산별 고지세액·법적 소유자·과세구분 확인 전 회사 전체 screening estimate입니다.,peer_snapshot_estimate,2026
293940,신한알파리츠,FFO proxy 현금유출 스트레스,주의,2,보유세 증가 및 FFO proxy 하락 가정을 함께 반영,"보유세 / FFO proxy, 추가 현금유출",주의 20% / 높음 35%,"배당가능재원, 예산, 투자자 커뮤니케이션 영향 검토",FFO proxy 산정자료 / 배당계획 / 보유세 예산 / 공시가격 변동 분석,현금흐름 스트레스,신한알파리츠: 2026년 / peer_snapshot_estimate / 회사 전체 Snapshot 기반 추정 / Peer 기반 회사 전체 추정 / 회사 전체 예시 Snapshot 기반 effective-rate estimate,FFO proxy와 추정 보유세를 사용한 민감도이며 확정 현금흐름 예측이 아닙니다.,peer_snapshot_estimate,2026
293940,신한알파리츠,투자부동산 대비 공시가격,정상,4,공시가격이 투자부동산 장부금액 대비 높게 형성되면 향후 보유세 증가 민감도가 커질 수 있습니다.,official_price_to_investment_property,,공시가격과 감정평가액의 차이를 자산별로 비교합니다. / 지가 상승률이 높은 권역의 과세표준 증가 가능성을 점검합니다.,자산별 공시가격 산출자료 / 감정평가보고서 / 토지·건물 면적 명세,Tax Red Flag,신한알파리츠: 2026년 / peer_snapshot_estimate / 회사 전체 Snapshot 기반 추정 / Peer 기반 회사 전체 추정 / 회사 전체 예시 Snapshot 기반 effective-rate estimate,공시·Snapshot 입력의 기간과 범위를 원자료로 확인해야 합니다.,peer_snapshot_estimate,2026
357120,코람코라이프인프라리츠,FFO proxy 대비 보유세 부담,높음,1,FFO proxy 대비 보유세 비중이 높으면 공시가격 상승 시 배당 여력과 현금 유출 부담이 빠르게 악화될 수 있습니다.,holding_tax_to_ffo,,"자산별 공시가격, 기준시가, 고지세액 자료를 대사합니다. / 공정시장가액비율과 세부담상한 적용 가능성을 검토합니다.",최근 5년 재산세 고지서 / 개별공시지가 조회 결과 / 건축물 시가표준액 자료,Tax Red Flag,코람코라이프인프라리츠: 2026년 / peer_snapshot_estimate / 회사 전체 Snapshot 기반 추정 / Peer 기반 회사 전체 추정 / 회사 전체 예시 Snapshot 기반 effective-rate estimate,공시·Snapshot 입력의 기간과 범위를 원자료로 확인해야 합니다.,peer_snapshot_estimate,2026
357120,코람코라이프인프라리츠,영업수익 대비 보유세 부담,높음,1,"영업수익 대비 보유세가 높으면 임대료 인상 여력, 관리비 전가 구조, 임차인 계약조건 검토가 필요합니다.",holding_tax_to_operating_revenue,,임대차계약상 세금 및 공과금 부담 주체를 확인합니다. / 관리비 또는 임대료 전가 가능성과 회계처리 영향을 검토합니다.,주요 임대차계약서 / 관리비 정산 명세 / 세금 및 공과금 전가 조항 요약,Tax Red Flag,코람코라이프인프라리츠: 2026년 / peer_snapshot_estimate / 회사 전체 Snapshot 기반 추정 / Peer 기반 회사 전체 추정 / 회사 전체 예시 Snapshot 기반 effective-rate estimate,공시·Snapshot 입력의 기간과 범위를 원자료로 확인해야 합니다.,peer_snapshot_estimate,2026
357120,코람코라이프인프라리츠,FFO proxy 현금유출 스트레스,높음,1,보유세 증가 및 FFO proxy 하락 가정을 함께 반영,"보유세 / FFO proxy, 추가 현금유출",주의 20% / 높음 35%,"배당가능재원, 예산, 투자자 커뮤니케이션 영향 검토",FFO proxy 산정자료 / 배당계획 / 보유세 예산 / 공시가격 변동 분석,현금흐름 스트레스,코람코라이프인프라리츠: 2026년 / peer_snapshot_estimate / 회사 전체 Snapshot 기반 추정 / Peer 기반 회사 전체 추정 / 회사 전체 예시 Snapshot 기반 effective-rate estimate,FFO proxy와 추정 보유세를 사용한 민감도이며 확정 현금흐름 예측이 아닙니다.,peer_snapshot_estimate,2026
357120,코람코라이프인프라리츠,투자부동산 대비 공시가격,주의,2,공시가격이 투자부동산 장부금액 대비 높게 형성되면 향후 보유세 증가 민감도가 커질 수 있습니다.,official_price_to_investment_property,,공시가격과 감정평가액의 차이를 자산별로 비교합니다. / 지가 상승률이 높은 권역의 과세표준 증가 가능성을 점검합니다.,자산별 공시가격 산출자료 / 감정평가보고서 / 토지·건물 면적 명세,Tax Red Flag,코람코라이프인프라리츠: 2026년 / peer_snapshot_estimate / 회사 전체 Snapshot 기반 추정 / Peer 기반 회사 전체 추정 / 회사 전체 예시 Snapshot 기반 effective-rate estimate,공시·Snapshot 입력의 기간과 범위를 원자료로 확인해야 합니다.,peer_snapshot_estimate,2026
357120,코람코라이프인프라리츠,자산별 과세자료 정합성 검토 필요,주의,2,정합성 검토 필요 행 1건,"공시가격 / 장부가액, 추정 과세표준",자산별 원자료 대사 여부,"장부가액, 공시가격, 과세표준, 고지세액의 자산별 대사",재산세 고지서 / 토지대장 / 건축물대장 / 자산별 장부가액 명세,보유세 정합성,코람코라이프인프라리츠: 2026년 / peer_snapshot_estimate / 회사 전체 Snapshot 기반 추정 / Peer 기반 회사 전체 추정 / 회사 전체 예시 Snapshot 기반 effective-rate estimate,자산별 고지세액·법적 소유자·과세구분 확인 전 회사 전체 screening estimate입니다.,peer_snapshot_estimate,2026
357120,코람코라이프인프라리츠,공시가격 상승률 추가 검토,정상,4,공시가격 상승률은 향후 자산별 과거 고지자료가 확장되면 별도 규칙으로 고도화할 예정입니다.,official_price_growth_5y,,최근 5년 공시가격 상승률과 실제 고지세액 증가율을 비교합니다. / 세부담상한 적용 여부와 누적 효과를 검토합니다.,최근 5년 공시가격 이력 / 최근 5년 재산세 고지서 / 지자체 과세자료,Tax Red Flag,코람코라이프인프라리츠: 2026년 / peer_snapshot_estimate / 회사 전체 Snapshot 기반 추정 / Peer 기반 회사 전체 추정 / 회사 전체 예시 Snapshot 기반 effective-rate estimate,공시·Snapshot 입력의 기간과 범위를 원자료로 확인해야 합니다.,peer_snapshot_estimate,2026
400760,NH올원리츠,FFO proxy 대비 보유세 부담,높음,1,FFO proxy 대비 보유세 비중이 높으면 공시가격 상승 시 배당 여력과 현금 유출 부담이 빠르게 악화될 수 있습니다.,holding_tax_to_ffo,,"자산별 공시가격, 기준시가, 고지세액 자료를 대사합니다. / 공정시장가액비율과 세부담상한 적용 가능성을 검토합니다.",최근 5년 재산세 고지서 / 개별공시지가 조회 결과 / 건축물 시가표준액 자료,Tax Red Flag,NH올원리츠: 2026년 / peer_snapshot_estimate / 회사 전체 Snapshot 기반 추정 / Peer 기반 회사 전체 추정 / 회사 전체 예시 Snapshot 기반 effective-rate estimate,공시·Snapshot 입력의 기간과 범위를 원자료로 확인해야 합니다.,peer_snapshot_estimate,2026
400760,NH올원리츠,FFO proxy 현금유출 스트레스,높음,1,보유세 증가 및 FFO proxy 하락 가정을 함께 반영,"보유세 / FFO proxy, 추가 현금유출",주의 20% / 높음 35%,"배당가능재원, 예산, 투자자 커뮤니케이션 영향 검토",FFO proxy 산정자료 / 배당계획 / 보유세 예산 / 공시가격 변동 분석,현금흐름 스트레스,NH올원리츠: 2026년 / peer_snapshot_estimate / 회사 전체 Snapshot 기반 추정 / Peer 기반 회사 전체 추정 / 회사 전체 예시 Snapshot 기반 effective-rate estimate,FFO proxy와 추정 보유세를 사용한 민감도이며 확정 현금흐름 예측이 아닙니다.,peer_snapshot_estimate,2026
